Book_Name,Description,Author,Rating,No_of_Ratings,Regular_Price,Language,Book_Audio_Length,Cover_IMG,Book_URL
The Design of Everyday Things,Revised and Expanded Edition,Don Norman,4.5 out of 5 stars,129 ratings,₹500.00,"['Language:', 'English']",Length: 10 hrs and 39 mins,https://m.media-amazon.com/images/I/51Dl6lXXesL._SL500_.jpg,https://www.audible.in/pd/The-Design-of-Everyday-Things-Audiobook/B07L5T1Q55
Trading in the Zone,"Master the Market with Confidence, Discipline, and a Winning Attitude",Mark Douglas,4.5 out of 5 stars,545 ratings,₹879.00,"['Language:', 'English']",Length: 7 hrs and 57 mins,https://m.media-amazon.com/images/I/51+8mBt4k7L._SL500_.jpg,https://www.audible.in/pd/Trading-in-the-Zone-Audiobook/B07BTC3K6T
The ONE Thing,The Surprisingly Simple Truth Behind Extraordinary Results,Gary Keller,4.5 out of 5 stars,442 ratings,"₹1,172.00","['Language:', 'English']",Length: 5 hrs and 24 mins,https://m.media-amazon.com/images/I/41mDQ4JH8EL._SL500_.jpg,https://www.audible.in/pd/The-ONE-Thing-Audiobook/B079P6NWGL
Think Again,The Power of Knowing What You Don't Know,Adam Grant,4.5 out of 5 stars,412 ratings,₹888.00,"['Language:', 'English']",Length: 6 hrs and 41 mins,https://m.media-amazon.com/images/I/41+9W87E6nL._SL500_.jpg,https://www.audible.in/pd/Think-Again-Audiobook/B08PL4YK66
No Excuses!,The Power of Self-Discipline for Success in Your Life,Brian Tracy,4.5 out of 5 stars,445 ratings,₹820.00,"['Language:', 'English']",Length: 6 hrs and 51 mins,https://m.media-amazon.com/images/I/51e6+Tmt0jL._SL500_.jpg,https://www.audible.in/pd/No-Excuses-Audiobook/B01N6J83IG
Think and Grow Rich,,Napoleon Hill,4.5 out of 5 stars,581 ratings,₹166.00,"['Language:', 'English']",Length: 10 hrs and 15 mins,https://m.media-amazon.com/images/I/51vKha04DuL._SL500_.jpg,https://www.audible.in/pd/Think-and-Grow-Rich-Audiobook/B07BN7HM3H
The Founders,,Jimmy Soni,,Not rated yet,₹645.00,"['Language:', 'English']",Length: 15 hrs and 46 mins,https://m.media-amazon.com/images/I/51KReSBvxoL._SL500_.jpg,https://www.audible.in/pd/The-Founders-Audiobook/B09RMSS39B
$100M Offers,How to Make Offers So Good People Feel Stupid Saying No,Alex Hormozi,5 out of 5 stars,54 ratings,₹501.00,"['Language:', 'English']",Length: 3 hrs and 48 mins,https://m.media-amazon.com/images/I/51DbY4as4EL._SL500_.jpg,https://www.audible.in/pd/100M-Offers-Audiobook/B09BK615JG
Indomitable,"A Working Woman's Notes on Work, Life and Leadership",Arundhati Bhattacharya,4.5 out of 5 stars,12 ratings,"₹1,575.00","['Language:', 'English']",Length: 15 hrs and 26 mins,https://m.media-amazon.com/images/I/51q82y93idL._SL500_.jpg,https://www.audible.in/pd/Indomitable-Audiobook/B09SGPKYMV
Make Time,How to focus on what matters every day,Jake Knapp,4.5 out of 5 stars,900 ratings,₹615.00,"['Language:', 'English']",Length: 4 hrs and 58 mins,https://m.media-amazon.com/images/I/51gQ7pHF-zL._SL500_.jpg,https://www.audible.in/pd/Make-Time-Audiobook/B07H4ZFHPS
The Personal MBA: Master the Art of Business,,Josh Kaufman,4.5 out of 5 stars,91 ratings,₹836.00,"['Language:', 'English']",Length: 15 hrs and 25 mins,https://m.media-amazon.com/images/I/51crV7aDATL._SL500_.jpg,https://www.audible.in/pd/The-Personal-MBA-Master-the-Art-of-Business-Audiobook/B079TN1LCT
Master Your Emotions: A Practical Guide to Overcome Negativity and Better Manage Your Feelings,,Thibaut Meurisse,4.5 out of 5 stars,23 ratings,₹501.00,"['Language:', 'English']",Length: 3 hrs and 54 mins,https://m.media-amazon.com/images/I/41UKG0zALxL._SL500_.jpg,https://www.audible.in/pd/Master-Your-Emotions-A-Practical-Guide-to-Overcome-Negativity-and-Better-Manage-Your-Feelings-Audiobook/B07YLCJFHK
Hyperfocus,,Chris Bailey,4.5 out of 5 stars,942 ratings,₹323.00,"['Language:', 'English']",Length: 6 hrs and 39 mins,https://m.media-amazon.com/images/I/51rztfs5fPL._SL500_.jpg,https://www.audible.in/pd/Hyperfocus-Audiobook/B07CTW7XQQ
The Daily Stoic,"366 Meditations on Wisdom, Perseverance, and the Art of Living",Ryan Holiday,5 out of 5 stars,50 ratings,₹388.00,"['Language:', 'English']",Length: 10 hrs and 6 mins,https://m.media-amazon.com/images/I/514WgltUohL._SL500_.jpg,https://www.audible.in/pd/The-Daily-Stoic-Audiobook/B079B59VKY
Designing Data-Intensive Applications,"The Big Ideas Behind Reliable, Scalable, and Maintainable Systems",Martin Kleppmann,5 out of 5 stars,24 ratings,"₹1,675.00","['Language:', 'English']",Length: 20 hrs and 56 mins,https://m.media-amazon.com/images/I/512ESwpmobL._SL500_.jpg,https://www.audible.in/pd/Designing-Data-Intensive-Applications-Audiobook/B08VKM4CWP
"The DevOps Handbook, Second Edition","How to Create World-Class Agility, Reliability, & Security in Technology Organizations",Gene Kim,,Not rated yet,₹836.00,"['Language:', 'English']",Length: 15 hrs and 51 mins,https://m.media-amazon.com/images/I/51-LRjBPDxL._SL500_.jpg,https://www.audible.in/pd/The-DevOps-Handbook-Second-Edition-Audiobook/B09L56CBSH
Algorithms to Live By,The Computer Science of Human Decisions,Brian Christian,4.5 out of 5 stars,191 ratings,"₹1,008.00","['Language:', 'English']",Length: 11 hrs and 50 mins,https://m.media-amazon.com/images/I/51HiU+5mTwL._SL500_.jpg,https://www.audible.in/pd/Algorithms-to-Live-By-Audiobook/B079P87243
The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime,,MJ DeMarco,4.5 out of 5 stars,276 ratings,₹836.00,"['Language:', 'English']",Length: 12 hrs and 46 mins,https://m.media-amazon.com/images/I/51MsMgvIUcL._SL500_.jpg,https://www.audible.in/pd/The-Millionaire-Fastlane-Crack-the-Code-to-Wealth-and-Live-Rich-for-a-Lifetime-Audiobook/B076ZT8KHD
Range,How Generalists Triumph in a Specialized World,David Epstein,4.5 out of 5 stars,482 ratings,₹323.00,"['Language:', 'English']",Length: 10 hrs and 17 mins,https://m.media-amazon.com/images/I/41eSJ3-5wUL._SL500_.jpg,https://www.audible.in/pd/Range-Audiobook/B07P9RSNSB
Find Your Why,A Practical Guide for Discovering Purpose for You and Your Team,Simon Sinek,4.5 out of 5 stars,53 ratings,₹615.00,"['Language:', 'English']",Length: 4 hrs and 56 mins,https://m.media-amazon.com/images/I/51mgrQxBpxL._SL500_.jpg,https://www.audible.in/pd/Find-Your-Why-Audiobook/B0754QN5ZB
No Rules Rules,Netflix and the Culture of Reinvention,Reed Hastings,4.5 out of 5 stars,554 ratings,₹888.00,"['Language:', 'English']",Length: 9 hrs and 42 mins,https://m.media-amazon.com/images/I/516qHOFsz1L._SL500_.jpg,https://www.audible.in/pd/No-Rules-Rules-Audiobook/B083ZJFTJT
The Hard Thing About Hard Things,Building a Business When There Are No Easy Answers,Ben Horowitz,4.5 out of 5 stars,530 ratings,"₹1,350.00","['Language:', 'English']",Length: 7 hrs and 57 mins,https://m.media-amazon.com/images/I/51j1P236E3L._SL500_.jpg,https://www.audible.in/pd/The-Hard-Thing-About-Hard-Things-Audiobook/B079TJQQJ4
Rework,,Jason Fried,4.5 out of 5 stars,585 ratings,₹452.00,"['Language:', 'English']",Length: 2 hrs and 50 mins,https://m.media-amazon.com/images/I/41jq-ouUBkL._SL500_.jpg,https://www.audible.in/pd/Rework-Audiobook/B079VF9TV6
The High Performance Entrepreneur,,Subroto Bagchi,5 out of 5 stars,17 ratings,"₹1,005.00","['Language:', 'English']",Length: 6 hrs and 35 mins,https://m.media-amazon.com/images/I/51E+AxYxIgL._SL500_.jpg,https://www.audible.in/pd/The-High-Performance-Entrepreneur-Audiobook/0143499076
Essentialism,The Disciplined Pursuit of Less,Greg McKeown,4.5 out of 5 stars,395 ratings,₹820.00,"['Language:', 'English']",Length: 6 hrs and 14 mins,https://m.media-amazon.com/images/I/51AP0QEvJBL._SL500_.jpg,https://www.audible.in/pd/Essentialism-Audiobook/B079WVSQ81
The Obstacle Is the Way,The Timeless Art of Turning Trials into Triumph,Ryan Holiday,4.5 out of 5 stars,98 ratings,₹668.00,"['Language:', 'English']",Length: 6 hrs and 7 mins,https://m.media-amazon.com/images/I/41LyQkMMRNL._SL500_.jpg,https://www.audible.in/pd/The-Obstacle-Is-the-Way-Audiobook/B076YFZLXY
Outliers,The Story of Success,Malcolm Gladwell,4.5 out of 5 stars,693 ratings,₹500.00,"['Language:', 'English']",Length: 7 hrs and 18 mins,https://m.media-amazon.com/images/I/41NOnaoU9sL._SL500_.jpg,https://www.audible.in/pd/Outliers-Audiobook/B071DZQYK3
Your Money or Your Life,9 Steps to Transforming Your Relationship with Money and Achieving Financial Independence: Fully Revised and Updated for 2018,Vicki Robin,4.5 out of 5 stars,51 ratings,"₹1,005.00","['Language:', 'English']",Length: 11 hrs and 21 mins,https://m.media-amazon.com/images/I/519jGNHNcoL._SL500_.jpg,https://www.audible.in/pd/Your-Money-or-Your-Life-Audiobook/B07DLDPJJW
Hooked: How to Build Habit-Forming Products,,Nir Eyal,4.5 out of 5 stars,363 ratings,₹501.00,"['Language:', 'English']",Length: 4 hrs and 40 mins,https://m.media-amazon.com/images/I/51o-DT4Z33L._SL500_.jpg,https://www.audible.in/pd/Hooked-How-to-Build-Habit-Forming-Products-Audiobook/B079TLX3QQ
The Goal,A Process of Ongoing Improvement - 30th Anniversary Edition,Eliyahu M. Goldratt,4.5 out of 5 stars,185 ratings,₹937.00,"['Language:', 'English']",Length: 11 hrs and 45 mins,https://m.media-amazon.com/images/I/51h1jhqTiZL._SL500_.jpg,https://www.audible.in/pd/The-Goal-Audiobook/B01MU2YXHW
Indistractable,How to Control Your Attention and Choose Your Life,Nir Eyal,4.5 out of 5 stars,463 ratings,"₹1,003.00","['Language:', 'English']",Length: 5 hrs and 15 mins,https://m.media-amazon.com/images/I/41bg11XnxiL._SL500_.jpg,https://www.audible.in/pd/Indistractable-Audiobook/B07SX9D5Q9
Grit,The Power of Passion and Perseverance,Angela Duckworth,4.5 out of 5 stars,318 ratings,₹820.00,"['Language:', 'English']",Length: 9 hrs and 21 mins,https://m.media-amazon.com/images/I/41KWTz0vgnL._SL500_.jpg,https://www.audible.in/pd/Grit-Audiobook/B079X24J88
